title,url_gs,year_gs,venue_gs,author_gs,source
From meaning to emotions: LLMs as artificial communication partners,https://link.springer.com/article/10.1007/s00146-025-02481-w,2025.0,AI & SOCIETY,['JL Morton'],google_scholar
Maintaining Long-Distance Relationships with (Mediocre) LLM-based Chatbots: A Collaborative Ethnographic Study,https://dl.acm.org/doi/abs/10.1145/3706599.3720221,2025.0,Proceedings of the …,"['B Ploderer', 'T Capel', 'NE Davaakhuu', 'NH Tung']",google_scholar
Depression and the use of conversational AI for companionship among college students: the mediating role of loneliness and the moderating effects of gender and …,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1580826/abstract,2025.0,Frontiers in Public Health,"['L Lai', 'Y Pan', 'R Xu', 'Y Jiang']",google_scholar
ChatGPT and mental health: Friends or foes?,https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.1912,2024.0,Health Science …,"['KT Kalam', 'JM Rahman', 'MR Islam']",google_scholar
Initiative Prompt by Design: the Roles of Emotional Attachment and Intrusiveness in Digital Companionship,https://aisel.aisnet.org/amcis2025/sig_hci/sig_hci/20/,2025.0,,"['Z Wang', 'C Ouyang']",google_scholar
Debate and dilemmas regarding generative AI in mental health care: scoping review,https://i-jmr.org/2024/1/e53672,2024.0,Interactive Journal of Medical …,"['X Xian', 'A Chang', 'YT Xiang', 'MT Liu']",google_scholar
A random human peer is better than a highly supportive chatbot in reducing loneliness over time,https://open.library.ubc.ca/soa/cIRcle/collections/ubctheses/24/items/1.0449721,2025.0,,['R Li'],google_scholar
Hysteria in empathy: Understanding virtual companionship and emotional connection between humans and Al,https://journals.sagepub.com/doi/abs/10.1177/09593543251319738,2025.0,Theory & Psychology,"['M Guo', 'Z Liu']",google_scholar
Generative AI Mental Health Chatbots as Therapeutic Tools: Systematic Review and Meta-Analysis of Their Role in Reducing Mental Health Issues,https://www.jmir.org/2025/1/e78238/,2025.0,Journal of Medical Internet …,"['Q Zhang', 'R Zhang', 'Y Xiong', 'Y Sui', 'C Tong']",google_scholar
Evaluating Generative AI in Mental Health: Systematic Review of Capabilities and Limitations,https://mental.jmir.org/2025/1/e70014/,2025.0,… mental health,"['L Wang', 'T Bhanushali', 'Z Huang', 'J Yang']",google_scholar
Designing a Generative AI Companion for Seniors,https://aisel.aisnet.org/amcis2025/intelfuture/intelfuture/8/,2025.0,,"['A Ray', 'A Munshi']",google_scholar
The algorithm of friendship: literature review and integrative model of relationships between humans and artificial intelligence (AI),https://www.tandfonline.com/doi/abs/10.1080/0144929X.2025.2502467,2025.0,Behaviour & Information Technology,"['T Gur', 'Y Maaravi']",google_scholar
Assessing User Trust in LLM-based Mental Health Applications: Perceptions of Reliability and Effectiveness,https://www.suaspress.org/ojs/index.php/JCTAM/article/view/v1n2a03,2024.0,Journal of Computer …,"['Y Zhao', 'J Wu', 'P Qu', 'B Zhang', 'H Yan']",google_scholar
Towards designing a ChatGPT conversational companion for elderly people,https://dl.acm.org/doi/abs/10.1145/3594806.3596572,2023.0,Proceedings of the 16th international conference …,"['A Alessa', 'H Al-Khalifa']",google_scholar
"When artificial intelligence substitutes humans in higher education: the cost of loneliness, student success, and retention",https://www.tandfonline.com/doi/abs/10.1080/03075079.2024.2326956,2024.0,Studies in Higher …,"['J Crawford', 'KA Allen', 'B Pani']",google_scholar
The artificial third: utilizing ChatGPT in mental health,https://www.tandfonline.com/doi/full/10.1080/15265161.2023.2250297,2023.0,The American Journal …,"['A Tal', 'Z Elyoseph', 'Y Haber', 'T Angert', 'T Gur']",google_scholar
Seeking Emotional and Mental Health Support From Generative AI: Mixed-Methods Study of ChatGPT User Experiences,https://mental.jmir.org/2025/1/e77951/,2025.0,… Mental Health,"['X Luo', 'Z Wang', 'JL Tilley', 'S Balarajan']",google_scholar
ChatGPT: a promising tool to combat social isolation and loneliness in older adults with mild cognitive impairment,https://www.neurologylive.com/view/chatgpt-promising-tool-combat-social-isolation-loneliness-older-adults-mild-cognitive-impairment,2023.0,Neurology live,"['X Qi', 'B Wu']",google_scholar
Exploring Older Adults Personality Preferences for LLM-powered Conversational Companions,https://dl.acm.org/doi/abs/10.1145/3706599.3719976,2025.0,Proceedings of the Extended Abstracts of …,"['A Shahid', 'J Chung', 'S Heo']",google_scholar
Befriend GenAI Chatbots: Exploring the Determinants of Parasocial Relationship in human-AI Interaction Through a Hybrid PLS-ANN-NCA Approach,https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2537794,2025.0,International Journal of Human–Computer …,"['W Zhong', 'J Luo']",google_scholar
Therapeutic potential of social chatbots in alleviating loneliness and social anxiety: Quasi-experimental mixed methods study,https://www.jmir.org/2025/1/e65589/,2025.0,Journal of medical …,"['M Kim', 'S Lee', 'S Kim', 'J Heo', 'S Lee', 'YB Shin']",google_scholar
The typing cure: Experiences with large language model chatbots for mental health support,https://dl.acm.org/doi/abs/10.1145/3757430,2025.0,Proceedings of the ACM …,"['I Song', 'SR Pendse', 'N Kumar']",google_scholar
Understanding the benefits and challenges of using large language model-based conversational agents for mental well-being support,https://pmc.ncbi.nlm.nih.gov/articles/PMC10785945/,2024.0,AMIA Annual Symposium Proceedings,"['Z Ma', 'Y Mei', 'Z Su']",google_scholar
Human-AI Interactions in Teacher Education: Examining Social Presence and Friendship,https://dl.acm.org/doi/abs/10.1145/3702386.3702399,2024.0,… of the 2024 International Conference on Artificial …,"['HW Huang', 'J Chang']",google_scholar
The role of humanization and robustness of large language models in conversational artificial intelligence for individuals with depression: a critical analysis,https://mental.jmir.org/2024/1/e56569,2024.0,JMIR Mental Health,"['A Ferrario', 'J Sedlakova', 'M Trachsel']",google_scholar
Improving workplace well-being in modern organizations: A review of large language model-based mental health chatbots,https://dl.acm.org/doi/abs/10.1145/3701041,2025.0,ACM Transactions on …,"['A Yuan', 'E Garcia Colato', 'B Pescosolido']",google_scholar
Anthropomorphism as Social Affordance: Charting the Co-Animation of Chatbots into Social “Agents”,https://ojs.aaai.org/index.php/AIES/article/view/36664,2025.0,Proceedings of the AAAI/ACM Conference on AI …,"['T Maeda', 'L Stark']",google_scholar
Artificial Intimacy: Exploring Normativity and Personalization Through Fine-tuning LLM Chatbots,https://dl.acm.org/doi/abs/10.1145/3706598.3713728,2025.0,Proceedings of the 2025 …,"['M Jones', 'N Griffioen', 'C Neumayer']",google_scholar
… and social attributes on peoples' usage intention and media dependence towards chatbot: The mediating role of parasocial interaction and emotional support,https://link.springer.com/article/10.1186/s40359-025-03284-w,2025.0,BMC psychology,"['K Zhang', 'Y Xie', 'D Chen', 'Z Ji', 'J Wang']",google_scholar
"Investigating AI chatbot dependence: Associations with Internet and smartphone dependence, mental health outcomes, and the moderating role of usage purposes",https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2545464,2025.0,International Journal of …,"['X Zhang', 'H Li', 'M Yin', 'M Zhang', 'Z Li']",google_scholar
Evaluating the experience of LGBTQ+ people using large language model based chatbots for mental health support,https://dl.acm.org/doi/abs/10.1145/3613904.3642482,2024.0,… of the 2024 CHI Conference on …,"['Z Ma', 'Y Mei', 'Y Long', 'Z Su', 'KZ Gajos']",google_scholar
Loneliness and suicide mitigation for students using GPT3-enabled chatbots,https://www.nature.com/articles/s44184-023-00047-6,2024.0,npj mental health research,"['B Maples', 'M Cerit', 'A Vishwanath', 'R Pea']",google_scholar
Comparing ChatGPT and validated questionnaires in assessing loneliness and online social support among college students: a cross-sectional study,https://www.nature.com/articles/s41598-025-06358-2,2025.0,Scientific Reports,"['J Gu', 'J Liu', 'L Zeng', 'Y Yu', 'Y Qiu', 'Y Yue', 'M Tong']",google_scholar
"… Between Embodiment and Theory of Mind Behavior Affects LLM-based Conversational Agents on Perceived Trust, Anthropomorphism, Presence, Usability, and User …",https://dl.acm.org/doi/abs/10.1145/3774779,2025.0,ACM Transactions on …,"['EA Schlesener', 'M Ziolkowski', 'SK Wong']",google_scholar
The Application and Ethical Implication of Generative AI in Mental Health: Systematic Review,https://mental.jmir.org/2025/1/e70610,2025.0,JMIR Mental Health,"['X Wang', 'Y Zhou', 'G Zhou']",google_scholar
The role of generative AI and anthropomorphism in shaping conversational marketing: Creating a matrix for future research,https://dergipark.org.tr/en/pub/epess/issue/82112/1412832,2023.0,The Eurasia Proceedings of Educational and Social …,['K Israfılzade'],google_scholar
Gen Zen? How Young People Adapt AI Chatbots for Emotional Support,https://books.google.com/books?hl=en&lr=&id=r9yZEQAAQBAJ&oi=fnd&pg=PA39&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22generative+AI%22+OR+%22ChatGPT%22+OR+%22AI+chatbot%22)+AND+(%22AI+companionship%22+OR+%22AI+companion%22+OR+%22human-AI+relationship%22+OR+%22emotional+support%22+OR+%22loneliness%22+OR+%22anthropomorphism%22+OR+%22parasocial+relationship%22+OR+%22mental+health%22+OR+%22user-driven+value+alignment%22)&ots=hJXa-5Eeto&sig=pUEsCCkNpVmPNikD00ZUkCGhfWc,2026.0,Foundations in Cyber-Ethnography: A Cross …,['P Pavliscak'],google_scholar
… the human touch: How AI chatbots' emotional support and human-like profiles reduce psychological reactance to promote user self-disclosure in mental health …,https://www.tandfonline.com/doi/abs/10.1080/02650487.2025.2558479,2025.0,International Journal of Advertising,"['H Kim', 'Y Wang']",google_scholar
Development and evaluation of a mental health chatbot using ChatGPT 4.0: Mixed methods user experience study with Korean users,https://medinform.jmir.org/2025/1/e63538,2025.0,JMIR Medical Informatics,"['B Kang', 'M Hong']",google_scholar
Chatbots and mental health: Insights into the safety of generative AI,https://myscp.onlinelibrary.wiley.com/doi/abs/10.1002/jcpy.1393,2024.0,Journal of Consumer …,"['J De Freitas', 'AK Uğuralp']",google_scholar
Can ChatGPT substitute human companionship for coping with loss and trauma?,https://www.tandfonline.com/doi/abs/10.1080/15325024.2023.2240697,2023.0,Journal of Loss and Trauma,['MB Garcia'],google_scholar
Assessing the effectiveness of ChatGPT in delivering mental health support: a qualitative study,https://www.tandfonline.com/doi/abs/10.2147/JMDH.S447368,2024.0,Journal of multidisciplinary healthcare,['F Alanezi'],google_scholar
Can we use ChatGPT for mental health and substance use education? Examining its quality and potential harms,https://mededu.jmir.org/2023/1/e51243/,2023.0,JMIR Medical …,"['S Spallek', 'L Birrell', 'S Kershaw', 'EK Devine']",google_scholar
"AI-powered Chatbots for Mental Health Support: Challenges, Concerns, and Research Issues",https://aisel.aisnet.org/amcis2025/sig_aiaa/sig_aiaa/15/,2025.0,,['S Shao'],google_scholar
Cases of using ChatGPT as a mental health and psychological support tool,https://www.tandfonline.com/doi/abs/10.1080/15398285.2024.2442374,2025.0,Journal of Consumer Health on the Internet,['L Giray'],google_scholar
An ethical perspective on the democratization of mental health with generative AI,https://mental.jmir.org/2024/1/e58011,2024.0,… Mental Health,"['Z Elyoseph', 'T Gur', 'Y Haber', 'T Simon', 'T Angert']",google_scholar
Generative ai applications in the health and well-being domain: Virtual and robotic assistance and the need for niche language models (nlms),https://link.springer.com/chapter/10.1007/978-3-031-46238-2_9,2024.0,Applications of generative AI,['G Revell'],google_scholar
Exploring user security and privacy attitudes and concerns toward the use of {General-Purpose}{LLM} chatbots for mental health,https://www.usenix.org/conference/usenixsecurity25/presentation/kwesi,2025.0,34th USENIX Security …,"['J Kwesi', 'J Cao', 'R Manchanda']",google_scholar
MyListener: An AI-Mediated Journaling Mobile Application for Alleviating Depression and Loneliness Using Contextual Data,https://dl.acm.org/doi/abs/10.1145/3675094.3677601,2024.0,Companion of the 2024 on ACM …,"['G Jung', 'S Choi', 'Y Kang', 'J Kim']",google_scholar
Private Yet Social: How LLM Chatbots Support and Challenge Eating Disorder Recovery,https://dl.acm.org/doi/abs/10.1145/3706598.3713485,2025.0,… of the 2025 CHI Conference on …,"['R Choi', 'T Kim', 'S Park', 'JG Kim', 'SJ Lee']",google_scholar
A Family-History Based Conversational AI System Using LLM,https://ieeexplore.ieee.org/abstract/document/10827365/,2024.0,2024 15th International …,"['M Lim', 'J Ku', 'GH Oh', 'S Lee', 'Y Kang']",google_scholar
Exploring the effect of attachment on technology addiction to generative AI chatbots: A structural equation modeling analysis,https://www.tandfonline.com/doi/abs/10.1080/10447318.2024.2426029,2025.0,International Journal of Human–Computer …,"['Y Huang', 'H Huang']",google_scholar
Measuring perceived empathy in generative AI in the context of mental health applications,https://tru.arcabc.ca/node/4791,2025.0,,['D Jordan'],google_scholar
The dark side of ai companionship: A taxonomy of harmful algorithmic behaviors in human-ai relationships,https://dl.acm.org/doi/abs/10.1145/3706598.3713429,2025.0,Proceedings of the 2025 …,"['R Zhang', 'H Li', 'H Meng', 'J Zhan', 'H Gan']",google_scholar
Examining trust and agency in emotionalized AI through a 4E and biosemiotic lens: a case study of AI companionship in Japan,https://link.springer.com/article/10.1007/s00146-025-02694-z,2025.0,AI & SOCIETY,"['P Mantello', 'D Ponton', 'A Olteanu']",google_scholar
A Conversational Interaction Framework Using Large Language Models for Personalized Elderly Care,https://ieeexplore.ieee.org/abstract/document/10930020/,2025.0,2025 IEEE …,"['K So', 'HJ Kim', 'DS Shin', 'JA Sim', 'JJ Lee']",google_scholar
Self-chats from large language models make small emotional support chatbot better,https://ink.library.smu.edu.sg/sis_research/9239/,2024.0,,"['Z Zheng', 'L Liao', 'Y Deng', 'L Qin', 'L Nie']",google_scholar
AN EXAMINATION OF THE IMPACT OF HUMAN-AI CHATBOT INTIMACY (HCI) ON THE MENTAL HEALTH FUNCTIONING OF USERS AND POLICY IMPLICATIONS.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2153683X&AN=186305458&h=Cu9VS36WpcLfL2lXbUNcpMBFY%2FM1cVE0qpnj6IB9%2Bifp7CdMfWj8v7pVnbeBXEpE%2FjpwX9SRXYo%2BXRUOdjIkGA%3D%3D&crl=c,2024.0,Journal of Education & Social Justice,['J RAYMOND'],google_scholar
The Efficacy of Rule-Based Versus Large Language Model-Based Chatbots in Alleviating Symptoms of Depression and Anxiety: Systematic Review and Meta …,https://www.jmir.org/2025/1/e78186/,2025.0,Journal of Medical Internet Research,"['Q Du', 'Y Ren', 'Z Meng', 'H He', 'S Meng']",google_scholar
Tech vs. tradition: ChatGPT and mindfulness in enhancing older adults' emotional health,https://www.mdpi.com/2076-328X/14/10/923,2024.0,Behavioral Sciences,"['Y Wang', 'S Li']",google_scholar
Enhancing mental health support through human-ai collaboration: Toward secure and empathetic ai-enabled chatbots,https://ieeexplore.ieee.org/abstract/document/11050703/,2025.0,… IEEE Conference on …,"['R AlMakinah', 'A Norcini-Pala', 'L Disney']",google_scholar
An Exploratory Study Into the Impact of AI Literacy Training on Anthropomorphism and Trust in Conversational AI,https://link.springer.com/chapter/10.1007/978-3-031-93415-5_18,2025.0,International Conference on …,"['G Wood', 'E Nuñez Castellar', 'W IJsselsteijn']",google_scholar
Misinformation reloaded? Fears about the impact of generative AI on misinformation are overblown,https://ora.ox.ac.uk/objects/uuid:bfa56657-6e42-4839-876f-26eabd9807b3,2023.0,… Kennedy School Misinformation …,"['FM Simon', 'S Altay', 'H Mercier']",google_scholar
Unmasking digital falsehoods: A comparative analysis of LLM-based misinformation detection strategies,https://ieeexplore.ieee.org/abstract/document/11020217/,2025.0,2025 8th International Conference …,"['T Huang', 'J Yi', 'P Yu', 'X Xu']",google_scholar
"Generative AI and misinformation: a scoping review of the role of generative AI in the generation, detection, mitigation, and impact of misinformation",https://link.springer.com/article/10.1007/s00146-025-02620-3,2025.0,AI & SOCIETY,"['S Park', 'X Nan']",google_scholar
"Generative AI and disinformation: recent advances, challenges, and opportunities",https://lirias.kuleuven.be/retrieve/758830,2024.0,,"['K Bontcheva', 'S Papadopoulous', 'F Tsalakanidou']",google_scholar
In generative AI we trust: can chatbots effectively verify political information?,https://link.springer.com/article/10.1007/s42001-024-00338-8,2025.0,… of Computational Social …,"['E Kuznetsova', 'M Makhortykh', 'V Vziatysheva']",google_scholar
Durably reducing conspiracy beliefs through dialogues with AI,https://www.science.org/doi/abs/10.1126/science.adq1814,2024.0,Science,"['TH Costello', 'G Pennycook', 'DG Rand']",google_scholar
Dialogues with large language models reduce conspiracy beliefs even when the AI is perceived as human,https://academic.oup.com/pnasnexus/article-abstract/4/11/pgaf325/8285733,2025.0,PNAS …,"['E Boissin', 'TH Costello', 'D Spinoza-Martín']",google_scholar
Hallucination as disinformation: The role of LLMs in amplifying conspiracy theories and fake news,http://sciencespress.com/index.php/JACAIDMS/article/view/14,2024.0,Journal of Applied Cybersecurity Analytics …,['C Bandara'],google_scholar
Can LLM-generated misinformation be detected: A study on Cyber Threat Intelligence,https://www.sciencedirect.com/science/article/pii/S0167739X25001724,2025.0,Future Generation …,"['H Huang', 'N Sun', 'M Tani', 'Y Zhang', 'J Jiang']",google_scholar
The impact and opportunities of Generative AI in fact-checking,https://dl.acm.org/doi/abs/10.1145/3630106.3658987,2024.0,Proceedings of the 2024 ACM Conference on Fairness …,"['R Wolfe', 'T Mitra']",google_scholar
Mapping the Impact of Generative AI on Disinformation: Insights from a Scoping Review,https://www.mdpi.com/2304-6775/13/3/33,2025.0,Publications,"['A López-Borrull', 'C Lopezosa']",google_scholar
The longtail impact of generative ai on disinformation: Harmonizing dichotomous perspectives,https://ieeexplore.ieee.org/abstract/document/10702034/,2024.0,IEEE Intelligent …,"['JS Lucas', 'BM Maung', 'M Tabar']",google_scholar
Stochastic lies: How LLM-powered chatbots deal with Russian disinformation about the war in Ukraine,https://misinforeview.hks.harvard.edu/article/stochastic-lies-how-llm-powered-chatbots-deal-with-russian-disinformation-about-the-war-in-ukraine/,2024.0,… Misinformation …,"['M Makhortykh', 'M Sydorova']",google_scholar
Toward mitigating misinformation and social media manipulation in llm era,https://dl.acm.org/doi/abs/10.1145/3589335.3641256,2024.0,… of the ACM Web Conference 2024,"['Y Zhang', 'K Sharma', 'L Du', 'Y Liu']",google_scholar
The thin line between conspiracy theories and opinion: Why humans and AI struggle to differentiate them,https://ijoc.org/index.php/ijoc/article/view/22182,2025.0,International Journal of Communication,"['P Carvalho', 'D Caled', 'MJ Silva']",google_scholar
Artificial intelligence and increasing misinformation,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/artificial-intelligence-and-increasing-misinformation/DCCE0EB214E3D375A3006AA69FFB210D,2024.0,The British Journal of …,"['S Monteith', 'T Glenn', 'JR Geddes']",google_scholar
Combating misinformation in the age of llms: Opportunities and challenges,https://onlinelibrary.wiley.com/doi/abs/10.1002/aaai.12188,2024.0,AI Magazine,"['C Chen', 'K Shu']",google_scholar
Model attribution in llm-generated disinformation: A domain generalization approach with supervised contrastive learning,https://ieeexplore.ieee.org/abstract/document/10722818/,2024.0,2024 IEEE 11th …,"['A Beigi', 'Z Tan', 'N Mudiam', 'C Chen']",google_scholar
AI for Combatting Mis/Disinformation,https://econtent.hogrefe.com/doi/full/10.1027/1864-1105/a000480,2025.0,Journal of Media …,"['E Behm-Morawitz', 'BR Warner']",google_scholar
Combating misinformation in the era of generative AI models,https://dl.acm.org/doi/abs/10.1145/3581783.3612704,2023.0,Proceedings of the 31st ACM International …,"['D Xu', 'S Fan', 'M Kankanhalli']",google_scholar
Is ChatGPT a friend or foe in the war on misinformation? A South African perspective,https://journals.co.za/doi/abs/10.36615/jcsa.v42i2.2437,2023.0,Communicare: Journal for Communication …,"['B Senekal', 'S Brokensha']",google_scholar
Impact of misinformation from generative AI on user information processing: How people understand misinformation from generative AI,https://journals.sagepub.com/doi/abs/10.1177/14614448241234040,2025.0,New Media & Society,"['D Shin', 'A Koerber', 'JS Lim']",google_scholar
"The dark side of LLM-powered chatbots: misinformation, biases, content moderation challenges in political retrievald",https://research-repository.rmit.edu.au/articles/journal_contribution/THE_DARK_SIDE_OF_LLM-POWERED_CHATBOTS_MISINFORMATION_BIASES_CONTENT_MODERATION_CHALLENGES_IN_POLITICAL_INFORMATION_RETRIEVAL/30007384,2025.0,,"['X Kuai', 'C Brantner', 'M Karlsson', 'E Van Couvering']",google_scholar
"Generative AI in the Era of 'Alternative Facts,'",https://scholar.archive.org/work/4kbg5ntghvh5zb2fvetuzedwzy/access/wayback/https://mit-genai.pubpub.org/pub/cnks7gwl/download/pdf,2024.0,… of Generative AI,"['S Gabriel', 'L Lyu', 'J Siderius', 'M Ghassemi']",google_scholar
Unraveling public conspiracy theories toward ChatGPT in China: A critical discourse analysis of Weibo posts,https://www.tandfonline.com/doi/abs/10.1080/08838151.2023.2275603,2024.0,Journal of Broadcasting & Electronic Media,"['W Zou', 'Z Liu']",google_scholar
Generative AI and Disinformation| Echoes of Doubt: Exposure to Information About Generative AI Decreases Believability of News,https://ijoc.org/index.php/ijoc/article/view/24772,2025.0,International Journal of …,"['M Tulin', 'M Pantazi', 'C Starke', 'M Sivolap']",google_scholar
Exploring generative AI in the misinformation Era: Impacts as a misinformation source and fact-checker on belief in the information,https://www.sciencedirect.com/science/article/pii/S073658532500070X,2025.0,Telematics and Informatics,"['SY Lee', 'W Liu']",google_scholar
Generative AI and Disinformation| Parental Perceptions of Dynamic Exchanges of Human Papillomavirus Vaccine Misinformation and Corrections From AI Checkers …,https://ijoc.org/index.php/ijoc/article/view/24429,2025.0,International Journal of …,"['R Tang', 'B Burston', 'J Sun', 'EK Vraga', 'L Bode']",google_scholar
Large-Language-Model-Powered Agent-Based Framework for Misinformation and Disinformation Research,https://www.computer.org/csdl/api/v1/periodical/mags/sp/5555/01/10492674/1VSc5O0EJ2g/download-article/pdf,,,['GA Intelligence'],google_scholar
Large language models (LLMs) and the institutionalization of misinformation,https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(24)00221-3,2024.0,Trends in cognitive sciences,"['M Garry', 'WM Chan', 'J Foster', 'LA Henkel']",google_scholar
Manipulative Phantoms in the Machine: A Legal Examination of Large Language Model Hallucinations on Human Opinion Formation,https://link.springer.com/chapter/10.1007/978-3-031-91054-8_3,2024.0,IFIP International Summer School on Privacy and …,['A Taimur'],google_scholar
Fact-checking information from large language models can decrease headline discernment,https://www.pnas.org/doi/abs/10.1073/pnas.2322823121,2024.0,Proceedings of the National …,"['MR DeVerna', 'HY Yan', 'KC Yang', 'F Menczer']",google_scholar
Yours Truly: A Credibility Framework for Effortless LLM-powered Fact Checking,https://ieeexplore.ieee.org/abstract/document/10807167/,2024.0,IEEE Access,"['V Krishnamurthy', 'V Balaji']",google_scholar
Disinformation Researchers Raise Alarms About AI Chatbots.,https://go.gale.com/ps/i.do?id=GALE%7CA736373175&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=22699740&p=AONE&sw=w,2023.0,International New York Times,"['T Hsu', 'SA Thompson']",google_scholar
Assessing the system-instruction vulnerabilities of large language models to malicious conversion into health disinformation chatbots,https://www.acpjournals.org/doi/abs/10.7326/ANNALS-24-03933,2025.0,Annals of Internal …,"['ND Modi', 'BD Menz', 'AA Awaty', 'CA Alex']",google_scholar
"Online disinformation and generative language models: Motivations, challenges, and mitigations",https://dl.acm.org/doi/abs/10.1145/3589335.3651254,2024.0,Companion Proceedings of the ACM Web Conference …,['Z Guo'],google_scholar
"LLMs grooming or data voids? LLM-powered chatbot references to Kremlin disinformation reflect information gaps, not manipulation",https://misinforeview.hks.harvard.edu/article/llms-grooming-or-data-voids-llm-powered-chatbot-references-to-kremlin-disinformation-reflect-information-gaps-not-manipulation/,2025.0,… Misinformation …,"['M Alyukov', 'M Makhortykh']",google_scholar
Misinformation and Disinformation in Generative AI—A Survey,https://link.springer.com/chapter/10.1007/978-981-96-8183-9_23,2025.0,Pacific-Asia Conference on Knowledge Discovery and …,['R Srinivasan'],google_scholar
Misinformation Correction in the Age of Generative Ai: Evaluating User Responses to Health Information Delivered by Chatgpt,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5393504,,"M, Misinformation …","['PJ Schulz', 'KM Kee', 'S Anita', 'ASE Soh']",google_scholar
The origin of public concerns over AI supercharging misinformation in the 2024 US presidential election,https://misinforeview.hks.harvard.edu/article/the-origin-of-public-concerns-over-ai-supercharging-misinformation-in-the-2024-u-s-presidential-election/,2025.0,… Misinformation …,"['HY Yan', 'G Morrow', 'KC Yang']",google_scholar
Generative echo chamber? effect of llm-powered search systems on diverse information seeking,https://dl.acm.org/doi/abs/10.1145/3613904.3642459,2024.0,Proceedings of the 2024 CHI Conference …,"['N Sharma', 'QV Liao', 'Z Xiao']",google_scholar
"Deepfakes, misinformation, and disinformation in the era of frontier AI, generative AI, and large AI models",https://ieeexplore.ieee.org/abstract/document/10401723/,2023.0,… on computer and …,"['MR Shoaib', 'Z Wang', 'MT Ahvanooey']",google_scholar
Detection of Fake News in Romanian: LLM-Based Approaches to COVID-19 Misinformation,https://www.mdpi.com/2078-2489/16/9/796,2025.0,Information,"['A Dima', 'E Ilis', 'D Florea', 'M Dascalu']",google_scholar
Disinformation detection: An evolving challenge in the age of llms,https://epubs.siam.org/doi/abs/10.1137/1.9781611978032.50,2024.0,Proceedings of the 2024 siam international …,"['B Jiang', 'Z Tan', 'A Nirmal', 'H Liu']",google_scholar
Preventing and detecting misinformation generated by large language models,https://dl.acm.org/doi/abs/10.1145/3626772.3661377,2024.0,Proceedings of the 47th International ACM SIGIR …,"['A Liu', 'Q Sheng', 'X Hu']",google_scholar
"Misinformation, disinformation, and generative AI: Implications for perception and policy",https://dl.acm.org/doi/abs/10.1145/3689372,2025.0,… : Research and Practice,"['K Jaidka', 'T Chen', 'S Chesterman', 'W Hsu']",google_scholar
