id,category,task_name,difficulty,tags,prompt_en
12,Feed,@Mention autocomplete in comment input,Medium,combobox;autocomplete;keyboard;ARIA,"Implement @mention autocomplete inside a comment input field.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- In a textarea or contenteditable (your choice), typing “@” triggers a suggestion popup of users.
- Suggestions update as the user types (debounced). Support keyboard navigation (Up/Down, Enter to select, Esc to close).
- Insert the selected mention token at the caret position, keeping surrounding text intact.

Accessibility:
- Follow ARIA combobox/listbox interaction patterns: proper roles, active descendant management, and announce results count.

Acceptance criteria:
- Caret insertion works mid-sentence and with multiple mentions.
- Popup positioning tracks the caret reasonably (simple approximation acceptable)."
13,Feed,Long-press / context menu actions on cards,Medium,context-menu;gesture;menu;state,"Add a context menu to feed cards for secondary actions (Copy link, Report, Not interested).

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- On desktop: right-click opens a context menu near cursor. On mobile: long-press opens the same menu.
- Actions:
  - Copy link: copies a generated share URL and shows toast.
  - Report: opens a modal form (reason + optional note).
  - Not interested: removes the item from the feed with a fade-out animation and records feedback locally.

Accessibility:
- Context menu is keyboard accessible (Shift+F10 or menu button) and uses proper menu semantics.

Acceptance criteria:
- Menu closes on outside click, Esc, and after action completion.
- Not interested removal does not break pagination (next load continues correctly)."
14,Feed,Fullscreen image viewer with zoom + preserve scroll,Hard,lightbox;zoom;keyboard;scroll-restoration,"Build a fullscreen image viewer (lightbox) for post images.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Clicking an image opens a fullscreen viewer with:
  - Next/previous navigation
  - Zoom in/out (mouse wheel + buttons), double-click to zoom toggle
  - Pan while zoomed (drag)
- Closing returns the user to the exact previous scroll position in the feed/detail view.
- Preload adjacent images for smoother navigation.

Accessibility:
- Esc closes; Left/Right navigate; provide accessible labels for controls.

Acceptance criteria:
- Zoom state resets appropriately when switching images (define clear rules).
- Scroll restoration is reliable even after orientation/resize changes."
15,Feed,Toggle between “Images-only” and “Rich” card layouts,Easy,view-toggle;layout;state-persistence,"Add a view toggle that switches between an “Images-only” feed and a “Rich” feed.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Provide a toggle in the feed header:
  - Images-only: show cover image + minimal overlay (author + like count).
  - Rich: show cover image + title + tags + actions.
- Preserve current scroll position and loaded items when switching modes (no refetch required).
- Persist the chosen mode in localStorage.

Acceptance criteria:
- Switching mode does not re-trigger image downloads unnecessarily (reuse cached URLs).
- Both layouts meet responsive requirements."
16,Feed,Notifications center with unread badges,Medium,notifications;tabs;unread;state,"Implement an in-app notifications center with unread state management.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Notification types: Like, Comment, Follow. Provide tabs or filters.
- Each notification shows actor, action text, time, and a deep link to the related item/user.
- Unread notifications have a badge; entering the detail view marks it as read.
- Provide bulk actions: “Mark all as read” and “Clear read notifications”.

Mock API:
- GET /notifications, POST /notifications/mark-read, POST /notifications/clear-read

Acceptance criteria:
- Badge counts update correctly with both individual and bulk actions.
- Deep links navigate and focus the relevant content on arrival."
17,Feed,Profile page with 3 tabs + scroll position memory,Medium,tabs;scroll-restoration;routing,"Build a profile page with three tabs: Posts / Saved / Likes, each with independent scroll position.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Tabs are routes (e.g., /profile/:id?tab=posts|saved|likes).
- Each tab loads its own paginated list and remembers scroll position when switching tabs.
- Provide an editable profile header (avatar + bio) with a simple inline edit mode (mock save).

Acceptance criteria:
- Switching tabs does not discard the other tab’s loaded data (within the same session).
- Scroll restoration works when using browser back/forward."
18,Feed,Search discovery page: history + trending chips,Easy,search;history;trending;localStorage,"Create a “Search Discovery” page featuring search history and trending keywords.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Show:
  - Recent searches (stored in localStorage, de-duplicated, max 10).
  - Trending list (from mock API), each with rank and growth indicator.
- Clicking a trending keyword fills the search box and navigates to the results page.
- Provide “Clear history” with confirmation.

Acceptance criteria:
- History updates only when a search is submitted (not on every keystroke).
- Clicking trending triggers a real search results fetch and focuses results heading."
19,Feed,Drafts inbox with auto-save + restore,Medium,drafts;autosave;debounce;confirm-dialog,"Implement a Drafts inbox for unpublished posts.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Drafts list shows title (or “Untitled”), last updated time, and a preview snippet.
- Clicking a draft opens the Create Post modal prefilled.
- Auto-save is debounced and indicates “Saving…” vs “Saved” states.
- Provide delete draft with confirmation; deleting removes from list immediately.

Acceptance criteria:
- Draft content persists across page reloads.
- Save indicator is accurate and does not flicker on rapid typing."
20,Feed,Content moderation helper with sensitive-word highlighting,Hard,text-processing;highlight;modal;validation,"Add a client-side content moderation helper to the Create Post form.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- When the user clicks Publish, scan title/body for a provided list of “sensitive words” (mock list).
- If found: block publish and open a modal summarizing matches (word + count) and highlight matches in the editor.
- Provide suggested replacements (mock mapping) and an “Apply replacements” button.
- Allow user to proceed after manual edits and a rescan passes.

Acceptance criteria:
- Highlighting does not break caret position while typing (apply highlights only on demand).
- Modal clearly explains what must be fixed and supports keyboard navigation."
21,Search,Search results with entity tabs,Medium,search;tabs;routing;state-sync,"Build a search results page with three result types: Posts, Users, Topics.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Search input at top (sticky). Query is reflected in URL (?q=).
- Tabs switch between result types without losing the query or resetting the input.
- Each tab has independent pagination, and switching tabs preserves loaded pages for that tab.
- Render a summary header showing total hits and the active filters.

Mock API:
- GET /search/posts?q=&page=
- GET /search/users?q=&page=
- GET /search/topics?q=&page=

Acceptance criteria:
- Browser back/forward restores the correct tab and query.
- Empty state per tab includes actionable suggestions (change query, clear filters)."
22,Search,Debounced search with AbortController cancellation,Hard,debounce;AbortController;concurrency;loading,"Implement debounced search requests with reliable cancellation.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- While typing in the search box, issue a request 300ms after the last keystroke.
- Cancel in-flight requests using AbortController when a new query starts.
- Show a small inline loading indicator in the input and a “Searching…” status text for screen readers.
- If the server responds out-of-order, ensure only the latest query updates the UI.

Acceptance criteria:
- You can demonstrate cancellation by adding randomized latency; UI never flashes stale results.
- Network errors are surfaced with a retry affordance that replays the last query."
23,Search,Keyword highlighting in result titles/snippets,Easy,text-highlighting;search,"Add keyword highlighting to search result rendering.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Highlight all occurrences of the query tokens in:
  - Post titles
  - Post snippets
  - User names (for the Users tab)
- Tokenization should handle multiple words and ignore casing.
- Avoid XSS: treat all text as plain text and wrap matches safely.

Acceptance criteria:
- Highlighting works for partial matches and multiple occurrences.
- Highlight does not break layout (truncate safely with ellipsis)."
24,Search,Filter drawer with slider + multi-select tags,Medium,filters;drawer;range-slider;multi-select,"Create a filter drawer for a results list (e.g., products or posts).

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Drawer contains:
  - Price range slider (min/max)
  - Multi-select tag list with search
  - Date range (Last 24h / 7d / 30d / Custom)
- “Apply” updates the results and closes drawer; “Reset” restores defaults without fetching until Apply.
- Selected filters appear as removable chips above the results list.

Acceptance criteria:
- Filter state is maintained in a single source of truth and can be serialized to the URL.
- Drawer is fully keyboard operable and traps focus while open."
25,Search,Sort dropdown that resets pagination and scroll,Easy,sorting;dropdown;pagination,"Add sorting controls to a paginated list.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Provide a sort dropdown: Newest, Hottest, Highest Rated.
- Changing sort:
  - resets pagination to page 1
  - scrolls results container to top
  - shows a brief loading skeleton to indicate refresh
- The sort choice is persisted in URL query (sort=).

Acceptance criteria:
- Sort changes do not leave stale rows visible under the skeleton.
- Keyboard navigation works for the dropdown and the results list."
26,Search,Preference-driven recommendation slot,Medium,recommendations;preferences;state;personalization,"Build a “Recommended for you” slot driven by user-selected preferences.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Provide a preferences panel (multi-select topics/tags, max 5).
- Recommendation slot shows 6–12 items computed from preferences (mock API can just filter by tags).
- If no preferences are selected, show an onboarding empty state prompting selection.
- Include a “Refresh recommendations” button with cooldown (e.g., 10s) to prevent spamming.

Acceptance criteria:
- Recommendation content updates immediately after preferences change.
- Cooldown is enforced and is clearly communicated in the UI."
27,Search,Similar content module with “Refresh batch”,Medium,similarity;refresh;caching,"Implement a “Similar content” module on an item detail page.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Use current item tags to fetch similar items (mock API).
- Display a grid of 6 cards; include a “Refresh batch” button that fetches a new set while avoiding repeats.
- Cache the last 3 batches in memory so back/forward navigation is instant.

Acceptance criteria:
- “Refresh batch” shows loading state only within the module, not the whole page.
- Items do not repeat within a batch and repeat rate across batches is minimized."
28,Search,“Not interested” feedback loop lowering exposure,Hard,feedback;ranking;localStorage;personalization,"Add a “Not interested” feedback mechanism that affects the session’s feed ranking.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- When a user marks an item as “Not interested”, ask for a reason (single select).
- Record feedback locally (e.g., tags or author) and reduce the probability that similar items appear in subsequent pages.
- Provide a “Undo” action for 10 seconds that restores the item and removes the feedback record.

Acceptance criteria:
- The next page load visibly reflects the feedback (fewer items from the suppressed tag/author).
- Undo fully reverses both UI and ranking influence."
29,Search,Search suggestions with keyboard support,Hard,autocomplete;combobox;keyboard;ARIA,"Build a typeahead search suggestion dropdown.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- While typing, show suggested queries from mock API (debounced).
- Support keyboard navigation (Up/Down, Enter to select, Esc to close).
- Clicking a suggestion triggers a search and closes the dropdown.
- Show “No suggestions” state and handle request errors gracefully.

Accessibility:
- Implement using ARIA combobox/listbox semantics (roles, active descendant, aria-expanded, aria-controls).

Acceptance criteria:
- Suggestions never obscure the focused element and are positioned correctly under the input.
- Selecting with keyboard and mouse yields identical results."
30,Search,Filter chips bar with remove + clear all,Easy,chips;filters;state-management,"Implement a filter chip bar that reflects active filters and supports removal.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Display active filters (e.g., tag=UI, price=10–50, date=7d) as chips.
- Each chip has a remove button that updates the results state.
- Provide a “Clear all” button; on click, confirm if more than 3 filters are active.

Acceptance criteria:
- Chip removal updates URL query and triggers exactly one refetch.
- Clear-all restores defaults and resets pagination."
31,Search,Multi-dimensional filter state with derived query,Medium,state;query-building;validation,"Design a robust filter state model and derived query builder for a list page.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Implement a centralized filter state (e.g., reducer) with:
  - tags: string[]
  - timeRange: preset | custom
  - priceRange: [min,max]
  - authorId?: string
- Derive an API query object and a stable URL representation.
- Validate invalid combinations (e.g., min>max, too many tags) and show inline guidance.

Acceptance criteria:
- State updates are predictable and do not create infinite re-render loops.
- URL parsing restores the exact same filter state."
32,Search,Advanced search form generating shareable URL,Medium,advanced-search;forms;url-state,"Create an advanced search page that generates shareable URLs.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Fields: keyword, author, topic, date range (from/to), minimum likes.
- “Search” navigates to results page with all parameters encoded in URL.
- Provide a “Copy search link” button that copies the current URL and shows toast.

Acceptance criteria:
- Reloading the page with the URL reconstructs the form state and results.
- Invalid input (e.g., end date before start date) blocks search with clear errors."
33,Search,Saved searches sidebar (create/rename/delete/apply),Hard,saved-views;CRUD;localStorage;UX,"Implement “Saved Searches” for the search results page.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Users can save the current query+filters as a named saved search.
- Saved searches appear in a sidebar with actions: Apply, Rename, Delete.
- Applying a saved search updates URL and loads results.
- Persist saved searches in localStorage (or mock API if you prefer).

Acceptance criteria:
- Names are validated (non-empty, unique); errors are shown inline.
- Applying a saved search is idempotent and does not double-fetch."
34,Search,Switchable pagination modes: page numbers vs load more,Medium,pagination;infinite-scroll;UX,"Create a results list that can switch between “Page numbers” and “Load more” modes.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Provide a UI toggle to switch modes.
- Page numbers mode: show pagination controls with current page and total pages.
- Load more mode: show a “Load more” button (and optional IntersectionObserver auto-load).
- Preserve the user’s current position and loaded items when switching modes where feasible.

Acceptance criteria:
- Mode choice persists in localStorage.
- Switching modes does not lose applied filters or sort."
